biz_name,aspect,positive_aspect_count,negative_aspect_count,positive_aspect_ratio
American Ale,price,23,3,0.8846153846153846
Twist & Shout 50's Diner,price,15,3,0.8333333333333334
Aramingo Buffet,ambience,2,1,0.6666666666666666
Latitude 26,food,152,34,0.8172043010752689
Hing Wah Restaurant,price,5,0,1.0
Taylor's Cafe,service,108,16,0.8709677419354839
AJ's Fine Foods,service,111,10,0.9173553719008265
Antica Italian Restaurant,ambience,101,10,0.9099099099099099
Public Service,food,117,33,0.78
Cafe de Paris Bakery,ambience,86,8,0.9148936170212766
Asian Kitchen,ambience,12,1,0.9230769230769231
12 ACRES Restaurant,food,111,21,0.8409090909090909
Picnic Provisions & Whiskey,ambience,55,6,0.9016393442622951
Hog Island Fish Camp,ambience,120,16,0.8823529411764706
Burger King,ambience,159,116,0.5781818181818181
Big Tuna Sushi House,service,4,4,0.5
Keystone Bagels,food,59,7,0.8939393939393939
Mix Bakeshop,ambience,40,4,0.9090909090909091
Mr. Pickle's Sandwich Shop & Catering,price,3,0,1.0
Fiesta Taqueria,service,39,2,0.9512195121951219
Estia Greek Taverna,service,95,14,0.8715596330275229
Bam!Dog Righteous Hot Dogs,ambience,87,7,0.925531914893617
Cheese Dawgs,ambience,35,4,0.8974358974358975
Santangelo's Cafe,food,116,19,0.8592592592592593
BOBQ,food,36,2,0.9473684210526315
Yianni's Cafe and Grill,service,89,38,0.7007874015748031
Fat Mo's Burgers,price,22,1,0.9565217391304348
Capulet,price,7,1,0.875
Mr Bill's II,food,3,1,0.75
Umami Umami,ambience,45,5,0.9
Blue Claw Restaurant & Crab Eatery,ambience,46,19,0.7076923076923077
Rocky's Wing Shack,food,49,8,0.8596491228070176
Mei Hon,food,99,19,0.8389830508474576
Cross Culture Restaurant,service,106,12,0.8983050847457628
Due Amici Italian Grill,food,120,19,0.8633093525179856
Stone Chase Brick Oven Bar & Grill,food,51,10,0.8360655737704918
Red Line Bar & Grill,food,8,2,0.8
Magpie,service,129,6,0.9555555555555556
Harry's Blue Bell Taproom,service,97,2,0.9797979797979798
Paramount Fine Foods,food,118,7,0.944
Kamita Asian Bistro,food,126,36,0.7777777777777778
Del Pueblo Cafe,food,266,48,0.8471337579617835
Amore Pizza & Restaurant,service,29,11,0.725
Guy Fieri's Flavortown Kitchen,food,25,21,0.5434782608695652
The Corner Cup,service,16,2,0.8888888888888888
Ben's BBQ and Beer,food,47,7,0.8703703703703703
Gordi's Restaurant,service,3,0,1.0
El Guero Canelo,price,188,20,0.9038461538461539
Terra Nova,food,225,74,0.7525083612040134
The Cafe At 2011 Walnut,ambience,6,0,1.0
Riverbend Cycles,service,21,1,0.9545454545454546
Shangrila,ambience,22,5,0.8148148148148148
Chateau West,price,18,4,0.8181818181818182
Poké Munch,service,79,2,0.9753086419753086
Pescatore,service,125,20,0.8620689655172413
Malone's Grill & Pub,ambience,15,1,0.9375
Apollonia,ambience,75,10,0.8823529411764706
Serafina Philadelphia,ambience,122,29,0.8079470198675497
Cafe Aquarius,food,38,2,0.95
Istanbul Restaurant,ambience,64,6,0.9142857142857143
Maria's Mexican Restaurant,ambience,51,5,0.9107142857142857
Bearcat CBD,food,286,35,0.8909657320872274
Tea's Me Cafe,food,226,21,0.9149797570850202
BackDraughts,food,136,24,0.85
Good Friend Chinese Restaurant,food,26,4,0.8666666666666667
HandleBar,service,77,8,0.9058823529411765
King's Garden,price,16,0,1.0
Flap Jack Pancake House,food,55,8,0.873015873015873
The LunchBox,food,24,6,0.8
Double Decker Pizza,price,5,1,0.8333333333333334
Full Belly Deli - Mill Street,service,137,6,0.958041958041958
Kalamata's,food,121,27,0.8175675675675675
Twin Dragon,food,29,15,0.6590909090909091
Thai Wok,food,152,21,0.8786127167630058
Cracker Barrel Old Country Store,price,140,19,0.8805031446540881
Paulz Burgerz & Dogz,food,37,6,0.8604651162790697
RAW at the Piazza,price,3,0,1.0
Happy Wok,service,23,4,0.8518518518518519
Piccolo Trattoria,food,167,30,0.8477157360406091
Hacienda Del Lago Restaurant,food,67,16,0.8072289156626506
Toro Guacamole,food,16,1,0.9411764705882353
Pearl of East,service,3,2,0.6
The Village Diner,service,60,9,0.8695652173913043
Stadium Tavern Indy,service,2,0,1.0
Richard's,ambience,84,5,0.9438202247191011
Brummis - the German Taste,service,73,5,0.9358974358974359
Umi,food,61,21,0.7439024390243902
BBQ BBQ,ambience,8,2,0.8
LA Taco Cantina,price,13,3,0.8125
Florizona Grille,price,1,0,1.0
Pita Jungle,price,63,12,0.84
Libertee Grounds,service,44,0,1.0
Nourish Juice Bar & Cafe,ambience,4,1,0.8
Dino's Pizza & Pasta,price,9,4,0.6923076923076923
Cinco De Mayo Mexican restaurant - Hermitage,price,23,3,0.8846153846153846
New Habana,food,42,10,0.8076923076923077
Jackson Bar + Eatery,food,135,21,0.8653846153846154
Buddy Freddys Restaurant,service,30,7,0.8108108108108109
Jim's Steaks,price,11,2,0.8461538461538461
Frankies,price,6,0,1.0
Newroz Market,food,60,2,0.967741935483871
BoDawgs,ambience,5,0,1.0
Chili's Grill & Bar,food,24,18,0.5714285714285714
St. Louis Paranormal Research Society,ambience,5,1,0.8333333333333334
Stingray's Grill & Bar,ambience,21,9,0.7
Desi Spice,food,70,4,0.9459459459459459
4th Street Pizza,ambience,7,1,0.875
The Hot Tomato,price,17,4,0.8095238095238095
Afghan Chopan Kebab,service,6,2,0.75
Dutch Garden Restaurant,ambience,67,6,0.9178082191780822
Paleo Soul,ambience,18,0,1.0
Starview Diner,service,71,7,0.9102564102564102
Kelly Days Firehouse Tavern,ambience,13,1,0.9285714285714286
Wong Wong Chinese Restaurant,ambience,35,9,0.7954545454545454
Ray's Crabcake Factory,ambience,0,1,0.0
Argana,price,6,0,1.0
Frank Papa's Ristorante,price,17,7,0.7083333333333334
Zeppoli,service,191,20,0.9052132701421801
1ST RND,food,65,19,0.7738095238095238
Overbrook Pizza Shop,service,29,5,0.8529411764705882
Desi Hut Cafe & Grill,service,6,4,0.6
Ronnie Pastrami's Deli and Catering,service,17,1,0.9444444444444444
Local's Pizzeria,service,9,0,1.0
Villa Roma Italian Restaurant & Pizza,food,19,6,0.76
"Saint Louis Halal Meat, Grocery & Foods - Baba's Restaurant",food,89,2,0.978021978021978
Sunrise Luncheonette,ambience,10,0,1.0
Asihi Asian Cuisine Hibachi & Buffet,price,23,4,0.8518518518518519
Nicolettes Caribbean Cafe,service,11,0,1.0
Smoothies N Things Café,food,14,2,0.875
Gauchos Brazilian Steak House,food,63,14,0.8181818181818182
Belle Meade Meat and Three,food,25,9,0.7352941176470589
Dicostanza Sandwich,ambience,7,2,0.7777777777777778
Pullella's Pizza Parlor,ambience,5,1,0.8333333333333334
Richard's,price,18,3,0.8571428571428571
Sam's Pizza,ambience,7,1,0.875
Perch Bakery Cafe,food,22,2,0.9166666666666666
Trattoria Italiana,ambience,16,3,0.8421052631578947
Jersey Oven,service,17,0,1.0
La Paz,ambience,18,1,0.9473684210526315
The Greek Taverna,service,9,4,0.6923076923076923
Bumpa's Seafood,ambience,81,12,0.8709677419354839
Jerusalem Foods,price,7,1,0.875
Yummy Sushi,service,45,7,0.8653846153846154
Tate Brothers Pizza,food,17,2,0.8947368421052632
Gallagher's II Family Restaurant,food,14,2,0.875
Tang Thai Restaurant,ambience,6,0,1.0
Brado's Pizza,ambience,5,1,0.8333333333333334
Bayview Pub & Grill,service,6,3,0.6666666666666666
Maria,ambience,1,0,1.0
Moonlight Cuisine,price,1,0,1.0
Gil & Rick's Sports Bar & Pizzeria,service,19,3,0.8636363636363636
Nicoletti's Ristorante,service,34,12,0.7391304347826086
Al-Aqsa Grocery,food,10,1,0.9090909090909091
Original Liberty Bell Restaurant,food,9,1,0.9
Middle East Restaurant,ambience,1,0,1.0
Boardwalk Pasta & Seafood,ambience,16,5,0.7619047619047619
Revivals Restaurant & Banquets,ambience,4,3,0.5714285714285714
Taqueria-El Ranchito,food,10,0,1.0
LaJoy's Coffee Cafe,food,2,1,0.6666666666666666
Lettie's Kitchen,ambience,21,3,0.875
On the Grill,price,3,0,1.0
The Galley,service,64,19,0.7710843373493976
Taziki's Mediterranean Cafe - Eagle,ambience,47,5,0.9038461538461539
Hiroki,ambience,73,8,0.9012345679012346
Maurizio's Bistro,ambience,31,2,0.9393939393939394
Casa Gallardo Mexican Restaurant & Cantina,service,18,0,1.0
Samurai Sushi,service,40,5,0.8888888888888888
Korea House,food,66,5,0.9295774647887324
ABC Pizza International,ambience,13,7,0.65
Brickhouse Coffee,ambience,84,3,0.9655172413793104
Pollo Tropical,price,23,3,0.8846153846153846
Rico's Acai,price,9,7,0.5625
Casa Mexico,service,57,16,0.7808219178082192
Chile Verde Mexican Grill,service,56,1,0.9824561403508771
Short Stack BBQ,service,58,7,0.8923076923076924
BJ's Bar and Restaurant,price,5,0,1.0
Fabrika Fishtown,price,10,1,0.9090909090909091
Rise Kitchen & Deli - Seminole Hard Rock,price,2,1,0.6666666666666666
Marco's Express,service,12,1,0.9230769230769231
CJ's On the Hill,service,14,3,0.8235294117647058
Villari's Milmarian Restaurant & Bar,ambience,5,2,0.7142857142857143
Antonino's Pizza,ambience,3,0,1.0
Spence on High Street,ambience,25,4,0.8620689655172413
Italian Express,food,42,17,0.711864406779661
The Bagel Spot,price,3,1,0.75
Brits Fish & Chips,food,58,11,0.8405797101449275
Bistro Juliana,food,24,3,0.8888888888888888
India Garden,food,28,0,1.0
Vegetate,ambience,2,1,0.6666666666666666
Global Quesadilla,food,4,2,0.6666666666666666
Papa Sam,food,1,1,0.5
Sarku Japan,service,11,1,0.9166666666666666
Havana Harry's Market &  Cafe,service,6,2,0.75
Han Il Kwan Korean Restaurant,ambience,4,0,1.0
Jimmy's Pita & Poke,ambience,19,5,0.7916666666666666
Inn at Little Harbor,ambience,1,2,0.3333333333333333
Antojitos Latinos Restaurant,service,6,1,0.8571428571428571
Tuma Pizza,food,13,4,0.7647058823529411
Twenty 21,service,3,1,0.75
Duggan's Boundary Irish Pub,price,6,1,0.8571428571428571
Indian Cafe & Grille,service,19,2,0.9047619047619048
Taco Chela,service,10,2,0.8333333333333334
Ban Thai Restaurant,food,6,1,0.8571428571428571
Alma,service,34,6,0.85
Nico's Taco Shop,ambience,6,1,0.8571428571428571
Heelok Chinese Restaurant,service,34,2,0.9444444444444444
Covello's Pizza,price,3,0,1.0
Liberty Pizza and Grill,price,2,0,1.0
Amir,price,6,3,0.6666666666666666
Buena Vista - Exton,ambience,1,0,1.0
USA Sports Grill,ambience,12,6,0.6666666666666666
Jaffa Street,service,5,1,0.8333333333333334
Franco's,price,9,0,1.0
Labeebee's,food,11,1,0.9166666666666666
Pizza Roma,ambience,5,1,0.8333333333333334
Grille Billy's,ambience,1,0,1.0
Huey's Grill & Tavern,ambience,6,0,1.0
General Tso Inn,price,11,0,1.0
Stoned Pizza Italian Grille,service,9,0,1.0
The New York Diner,service,67,2,0.9710144927536232
Sweet & Savory,service,10,9,0.5263157894736842
Tarzan's Tacos,food,21,2,0.9130434782608695
Giovanni Pizza,ambience,14,2,0.875
King Churro,ambience,2,0,1.0
Blue Crab Juicy Seafood & Bar,service,14,0,1.0
The Ridge,service,3,2,0.6
No 9 Restauarant,food,37,1,0.9736842105263158
Famous Wok,service,4,1,0.8
Pêche,,432,51,0.8944099378881988
La Pollera Colorada,,42,1,0.9767441860465116
Culver's,,89,28,0.7606837606837606
Pyramids Cafe,,52,5,0.9122807017543859
Seaside Inn,,3,1,0.75
QuikTrip,,41,8,0.8367346938775511
Pho Bami,,18,0,1.0
Serafina Philadelphia,,64,21,0.7529411764705882
MOD Pizza,,289,33,0.8975155279503105
Coffee Cartel,,23,17,0.575
Rosa's Mexican Food Restaurant,,124,20,0.8611111111111112
The Avenue Pub,,55,7,0.8870967741935484
A'Pizze Tuscan Grill,,15,4,0.7894736842105263
SouthCreek Pizza,,188,22,0.8952380952380953
Ike's Love & Sandwiches,,14,3,0.8235294117647058
Mt Lemmon Cookie Cabin,,37,15,0.7115384615384616
Plaza Azteca - King of Prussia,,77,23,0.77
Peel Wood Fired Pizza,,137,14,0.9072847682119205
Cafe Ponte,,113,4,0.9658119658119658
Jake & Max's Deli,,4,0,1.0
McGlinchey's Bar & Grill,,16,6,0.7272727272727273
Sasha's,,48,12,0.8
Scotty's Brewhouse,,15,7,0.6818181818181818
Brummis - the German Taste,,36,4,0.9
Jet City Espresso Hyde Park,,28,2,0.9333333333333333
H Mart - Elkins Park,,29,7,0.8055555555555556
Soul Soup,,2,0,1.0
Afghan Chopan Kebab,,4,1,0.8
QQ Revolving,,12,3,0.8
J'Anitas,,5,0,1.0
Al-Sham Restaurant,,4,2,0.6666666666666666
Young Bin Chinese Restaurant,price,1,0,1.0
Cafe Olivia,,11,0,1.0
Magpies Gourmet Pizza,,37,19,0.6607142857142857
The Happy Pita,,5,1,0.8333333333333334
Big Storm Brewery- Clearwater,,62,6,0.9117647058823529
Jamaican & American Cafe,,3,1,0.75
Angelo's Pizzeria,,26,2,0.9285714285714286
Southshore Donuts & Restaurant,,0,1,0.0
Primo Hoagies,price,3,0,1.0
High Street Provisions,,1,0,1.0
Buddy's Burgers Breasts & Fries,,9,6,0.6
Sasa Japanese & Chinese Restaurant,,5,2,0.7142857142857143
Taqueria Porfis,,3,2,0.6
Bai Thong,,29,8,0.7837837837837838
Bowld,ambience,5,6,0.45454545454545453
Gangnam Korean BBQ,,27,3,0.9
Nailers Brewing,,12,0,1.0
Smokies BBQ,service,8,1,0.8888888888888888
La Lechonera,,7,1,0.875
Woodshed Burgers,,24,2,0.9230769230769231
Stout House,,11,2,0.8461538461538461
Raw Sushi,,10,2,0.8333333333333334
Neighbor Tim's BBQ,,25,7,0.78125
Maloney's Local Irish Pub,,11,5,0.6875
Sea Lect Seafood,,10,3,0.7692307692307693
TacoSon,,24,4,0.8571428571428571
Trattoria Vittoria,,64,11,0.8533333333333334
Estia,,54,5,0.9152542372881356
Lenape Pizza,,5,2,0.7142857142857143
Pizza Point,,8,0,1.0
Three Birds Tavern,,89,11,0.89
Juicy Seafood - Beech Grove,,7,3,0.7
The Urban Juicer,,10,1,0.9090909090909091
Lil Bit Kuntry,food,17,3,0.85
Ocean Harmony,,2,0,1.0
Corner Pub Cool Springs,,3,0,1.0
East Nashville BBQ Company,,2,2,0.5
Blue Strawberry,food,17,1,0.9444444444444444
Safety Harbor Pizzeria,,5,1,0.8333333333333334
Lee's Famous Recipie Chicken,,1,2,0.3333333333333333
Chula's Mexican Grill - Palm Harbor,,21,2,0.9130434782608695
Gil & Rick's Sports Bar & Pizzeria,,7,0,1.0
Tiedhouse,,2,0,1.0
European Delicatessen,price,3,2,0.6
Panino,,11,1,0.9166666666666666
The Juice Joint,,0,1,0.0
Maine-Ly New England,service,6,1,0.8571428571428571
Miso Hungry,food,264,51,0.8380952380952381
Marmalade Cafe,food,188,85,0.6886446886446886
Mama's Vegetarian,ambience,74,19,0.7956989247311828
Gnocchi,food,394,42,0.9036697247706422
Dedicated Gluten Free Bakery And Coffee Shop,service,84,4,0.9545454545454546
Nickel Plate Bar & Grill,food,135,38,0.7803468208092486
The Bakeshop on 20th,service,108,5,0.9557522123893806
Mexican Post,food,77,54,0.5877862595419847
Kitchen 519,ambience,195,23,0.8944954128440367
Alessi Bakery,food,343,65,0.8406862745098039
Kickin Wingz,service,42,12,0.7777777777777778
Cracker Barrel Old Country Store,food,758,263,0.742409402546523
Tinsel,food,49,15,0.765625
Chipotle Mexican Grill,ambience,360,322,0.5278592375366569
Katie's Pizza & Pasta Osteria,service,397,31,0.927570093457944
Caffe Luce,food,352,40,0.8979591836734694
Benihana,food,602,240,0.7149643705463183
TC Choy's Asian Bistro,ambience,45,8,0.8490566037735849
Sahara Grill,price,62,9,0.8732394366197183
Bitterman's Deli,food,39,5,0.8863636363636364
Le Pain Quotidien,food,255,49,0.8388157894736842
Alyan's Restaurant,food,399,57,0.875
Hungry Bear Cafe,price,25,3,0.8928571428571429
Arizona Inn,ambience,73,9,0.8902439024390244
China King,price,154,20,0.8850574712643678
Rexy's,food,146,26,0.8488372093023255
Margaret Kuo's Mandarin,price,21,3,0.875
Karla's Restaurant,price,64,11,0.8533333333333334
Mr. Wok,food,237,39,0.8586956521739131
SoFresh,ambience,52,10,0.8387096774193549
Holy Hog Barbecue,service,128,14,0.9014084507042254
Gallery Eclectic Bistro,food,99,59,0.6265822784810127
Bunbuku Japanese Cuisine,food,8,1,0.8888888888888888
Square 1682,service,308,41,0.8825214899713467
Moby Dick Restaurant,price,95,54,0.6375838926174496
Alfredo Italian Byo,ambience,28,7,0.8
Ruchi Authentic Indian Cuisine,food,106,26,0.803030303030303
Hibachi Japanese Steakhouse & Sushi Bar,food,179,57,0.7584745762711864
Hook And Press Donuts,food,243,42,0.8526315789473684
Tiparos Thai Restaurant,service,11,0,1.0
The Bakeshop on 20th,food,415,53,0.8867521367521367
Stateside Kitchen,ambience,84,11,0.8842105263157894
El Paso Mexican Grill,food,25,8,0.7575757575757576
Taqueria Cuernavaca,price,69,2,0.971830985915493
Carl's Delicatessen Restaurant,food,156,27,0.8524590163934426
Thai Select,ambience,81,10,0.8901098901098901
Verde Flavors Of Mexico,food,323,55,0.8544973544973545
Nodding Head Brewery & Restaurant,service,150,41,0.7853403141361257
Thai Station Restaurant,ambience,63,2,0.9692307692307692
The Bar-B-Que Place,food,58,19,0.7532467532467533
Olio,ambience,251,19,0.9296296296296296
The Wine Bar Cafe,price,3,0,1.0
Positano's,service,128,20,0.8648648648648649
Zama,price,97,46,0.6783216783216783
Blvd Nashville,food,250,72,0.7763975155279503
Wasabi,ambience,45,6,0.8823529411764706
Savor Restaurant,service,104,20,0.8387096774193549
Fattoush Cafe,price,15,3,0.8333333333333334
Nimit Palace,service,197,10,0.9516908212560387
The Yellow Porch,service,184,40,0.8214285714285714
Bertucci's,food,62,18,0.775
Bon Ton Cafe,service,241,24,0.909433962264151
Kahwa Coffee,ambience,197,10,0.9516908212560387
The Tequila House,service,81,15,0.84375
Tiffin,ambience,54,4,0.9310344827586207
Arnold's Country Kitchen,service,346,23,0.9376693766937669
Bobbie's Dairy Dip,food,337,67,0.8341584158415841
Tofu House,ambience,81,1,0.9878048780487805
Blvd Nashville,service,100,43,0.6993006993006993
Fresh Off The Hook,food,228,45,0.8351648351648352
Barrister's,food,135,28,0.8282208588957055
O'Grady's Family Restaurant,food,55,24,0.6962025316455697
D&E Donuts,food,54,2,0.9642857142857143
China Inn Restaurant,food,9,8,0.5294117647058824
The Foodery,price,16,14,0.5333333333333333
Shotgun Willie's BBQ,food,112,21,0.8421052631578947
Crisp Chikn,food,38,5,0.8837209302325582
Rosy's Taco Bar,ambience,83,16,0.8383838383838383
The Original Hot Dog Factory,food,20,7,0.7407407407407407
Las Aves Cafe,food,48,8,0.8571428571428571
Island Paradise Restaurant & Grill,ambience,14,1,0.9333333333333333
Tacconelli's Pizzeria,service,144,35,0.8044692737430168
Tea Garden Chinese Restaurant,service,10,1,0.9090909090909091
Flavours of India,service,10,2,0.8333333333333334
Noodles & Company,ambience,38,6,0.8636363636363636
Delhi Palace,food,144,23,0.8622754491017964
Sojourner Cafe,food,399,93,0.8109756097560976
Keel & Curley Winery,price,43,11,0.7962962962962963
Port of Subs,ambience,29,12,0.7073170731707317
Black Rock Bar & Grill,ambience,121,52,0.6994219653179191
La Posada Real Fine Mexican Food,food,254,39,0.8668941979522184
Uncle Julio's,ambience,57,13,0.8142857142857143
KC's Alley,price,27,6,0.8181818181818182
Golden Dragon Chinese Restaurant,ambience,8,4,0.6666666666666666
CharroVida,service,189,28,0.8709677419354839
The Hatchery,ambience,26,1,0.9629629629629629
Phillyman Cheesesteak,price,4,0,1.0
Michael's Grill,food,254,29,0.8975265017667845
Saddlebrook Resort Tampa,price,9,1,0.9
Crawdaddy's Bayou Bar & Grill,food,20,7,0.7407407407407407
El Patron Pizzeria,service,19,27,0.41304347826086957
Dank Bowl Kitchen,service,77,7,0.9166666666666666
Marco's Pizza,service,214,45,0.8262548262548263
Broad Street Diner,service,104,19,0.8455284552845529
Thai Terrace Cuisine,service,100,18,0.847457627118644
Peppers Fort,service,11,5,0.6875
El Chapo Restaurant,food,14,17,0.45161290322580644
Musashi Exotic Japanese Cuisine,ambience,63,9,0.875
Pier 48,price,28,4,0.875
China Thai Cuisine,price,6,1,0.8571428571428571
El Potrillo Mexican Restaurant,food,21,2,0.9130434782608695
Greek House Cafe,food,43,4,0.9148936170212766
Super Gyros,service,26,1,0.9629629629629629
Copia West County,service,37,15,0.7115384615384616
Tamarindos Restaurant,ambience,63,6,0.9130434782608695
Skyway Jack's,ambience,53,9,0.8548387096774194
Plates International Buffet,service,55,6,0.9016393442622951
Green Tea,service,20,6,0.7692307692307693
Hobnobber's Variety Bar & Restaurant,price,116,3,0.9747899159663865
Mongolian Grill,food,23,10,0.696969696969697
Catch 202,food,62,17,0.7848101265822784
Dam Good Cafe,price,10,2,0.8333333333333334
DK Sushi,ambience,8,8,0.5
Panini Bread Cafe,food,65,15,0.8125
Addicted To The Bean,service,31,4,0.8857142857142857
T&D Vietnamese Noodle House,food,37,5,0.8809523809523809
Cafe Patachou,service,58,23,0.7160493827160493
UNION72 Barbecue,service,71,10,0.8765432098765432
Istanbul Mediterranean Cuisine & Bar,service,101,4,0.9619047619047619
Ixca,service,71,2,0.9726027397260274
Umai Japanese Restaurant,ambience,80,5,0.9411764705882353
Frenchy’s To Go,price,1,0,1.0
Teddy's Burger Joint,price,8,2,0.8
Indian Garden Restaurant,food,50,21,0.704225352112676
Koba,ambience,9,2,0.8181818181818182
Yalda Grill & Kabob,food,42,3,0.9333333333333333
Code Coffee,ambience,62,7,0.8985507246376812
Crab Shack Restaurant,price,77,8,0.9058823529411765
Mugshot Diner,food,37,10,0.7872340425531915
East Bay Family Restaurant,food,16,3,0.8421052631578947
Mama Thai,price,9,1,0.9
Bündok,price,19,1,0.95
Pho Saigon Vietnamese Restaurant,food,153,21,0.8793103448275862
Fathom Seafood House,service,50,7,0.8771929824561403
Giacomos,food,11,2,0.8461538461538461
Cheeseburger in Paradise,food,31,4,0.8857142857142857
Pat's New York Hot Dogs,ambience,2,1,0.6666666666666666
Opas Grill,food,49,2,0.9607843137254902
Tikka Masalaa,service,33,3,0.9166666666666666
The Three Amigos,service,39,13,0.75
Bubby's Brisket & Bugsy's Weiners,ambience,4,0,1.0
Alison At Blue Bell,food,17,3,0.85
Pirate's Pizza,service,64,5,0.927536231884058
Barb & Ernie's Restaurant,ambience,25,11,0.6944444444444444
Mariscos Chihuahua,service,66,12,0.8461538461538461
Joellas's Hot Chicken - Largo,ambience,15,7,0.6818181818181818
Core De Roma,food,130,16,0.8904109589041096
Thai Thanee,food,20,2,0.9090909090909091
Real Food Eatery,food,37,7,0.8409090909090909
Fried Rice Kitchen,service,1,0,1.0
Caffe Valentino,ambience,57,6,0.9047619047619048
Lazy Lanigans Publick House,ambience,18,9,0.6666666666666666
Pete's Place South Tampa,ambience,20,8,0.7142857142857143
Currito Burritos Without Borders,service,2,5,0.2857142857142857
Zpan Hibachi And Sushi Bar,price,7,3,0.7
'Merica Food Truck,food,16,1,0.9411764705882353
Burger Bar at Gallo's,service,70,10,0.875
Taste of Mogul,ambience,2,1,0.6666666666666666
Morty's Comedy Joint,price,22,9,0.7096774193548387
Outback & Carrabba's Express,service,13,7,0.65
Scottys Brewhouse,price,18,7,0.72
Ryan's,food,37,32,0.5362318840579711
Ruggieri's Pizza and More,price,5,0,1.0
Jeff Ruby's Steakhouse,food,23,5,0.8214285714285714
Koukouzeli,service,5,2,0.7142857142857143
J J's Pie,price,30,5,0.8571428571428571
Chevys Fresh Mex,ambience,22,5,0.8148148148148148
Thai Pizza Company,service,21,6,0.7777777777777778
Silver Mine Subs,food,17,7,0.7083333333333334
Tick Tock Lounge,ambience,49,6,0.8909090909090909
Best China Inn,service,29,7,0.8055555555555556
Racks Pub & Grill - Williamstown,price,7,2,0.7777777777777778
Stella Sera,ambience,37,5,0.8809523809523809
J'Anitas,service,13,0,1.0
Peppi's Pizza & Pasta,food,34,9,0.7906976744186046
Korave,ambience,4,2,0.6666666666666666
Que Rica's,food,64,9,0.8767123287671232
P J's Oyster Bar,price,21,4,0.84
Mr Sub,ambience,2,0,1.0
Lee Roy Selmon's,service,33,3,0.9166666666666666
Chase Club,price,8,5,0.6153846153846154
Stella Maris Restaurant & Hookah Lounge,ambience,10,0,1.0
Montrels Bistro,service,12,8,0.6
Bellshire Pizza,service,8,0,1.0
Yonny's,price,4,0,1.0
Villari's Milmarian Restaurant & Bar,service,12,0,1.0
Oxtail International Cuisine and Juice Bar,ambience,0,0,
Caffé Paradiso,food,99,8,0.9252336448598131
Bluepoint Kitchen & Bar,service,8,0,1.0
Ho Ho To Go,service,9,1,0.9
St Lawrence Pizza,food,6,6,0.5
Ancient Spirits & Grille,ambience,26,5,0.8387096774193549
Szechuan Restaurant,price,31,8,0.7948717948717948
Liberty Union Bar & Grill,ambience,69,10,0.8734177215189873
Manila Central Market & Restaurant,ambience,1,0,1.0
Cafe Alessio,service,12,5,0.7058823529411765
Matassa's Market,ambience,7,3,0.7
Argento's Pizza & Family Restaurant,price,3,2,0.6
Downey's Restaurant,price,26,8,0.7647058823529411
Becker's Corner,food,67,11,0.8589743589743589
Greenery,price,7,2,0.7777777777777778
Papacito Nashville,service,22,3,0.88
Allegro Pizza City Line,price,3,0,1.0
Maryland Crab Seafood House,service,26,3,0.896551724137931
Perry's Sports Bar & Grill,food,6,2,0.75
Authentik Byrek,food,25,2,0.9259259259259259
Pita's Republic,service,28,1,0.9655172413793104
Philly Phlava Cheese Steaks,price,3,0,1.0
Mechanic Street Station,price,3,1,0.75
Shanghai Lil Restaurant,price,5,5,0.5
Dieci Italian Restaurant,service,12,7,0.631578947368421
Bistro Saisons,ambience,16,1,0.9411764705882353
SoHo Restaurant and Lounge,food,30,6,0.8333333333333334
Austin's Restaurant,service,8,5,0.6153846153846154
Ellen's Bagels Hoagies & More,service,16,1,0.9411764705882353
Frankie Ann's,price,4,0,1.0
Gyro Spot,ambience,15,0,1.0
Rock N Roll Sushi,food,18,6,0.75
Turquesa Latin Grill,food,10,3,0.7692307692307693
Ocean Harmony,food,24,10,0.7058823529411765
Ocho Rios Parrilla,food,8,1,0.8888888888888888
Jerk Pit,food,49,17,0.7424242424242424
Tinker's Burgers,price,20,7,0.7407407407407407
CA Cafe,price,9,0,1.0
Three Brothers Pizza Express,service,6,0,1.0
Hibachi & Chinese Restaurant,food,0,4,0.0
Adobos Mexican Grill,food,5,3,0.625
Sushi King,service,77,14,0.8461538461538461
Debbie's Deli,food,10,1,0.9090909090909091
Fishtown Brewpub,service,62,3,0.9538461538461539
Alex's,ambience,4,2,0.6666666666666666
China Super Buffet,food,0,2,0.0
Argento's Pizza & Family Resturant,service,5,0,1.0
Happy Garden Restaurant,ambience,1,0,1.0
The Happy Pita,food,30,4,0.8823529411764706
Amatos Italian Kitchen,service,15,1,0.9375
Don's Deli and Catering,service,6,3,0.6666666666666666
The Tohono Chul Park Tea Room,service,20,4,0.8333333333333334
Romano Italian Street Food,ambience,7,2,0.7777777777777778
Evos Feel Great Food,service,1,2,0.3333333333333333
Swansea Fish Stand,food,20,3,0.8695652173913043
Juice Bar - The Gulch,service,26,2,0.9285714285714286
4th Street Pizza,service,14,1,0.9333333333333333
Pho Mai,service,20,1,0.9523809523809523
Houlihans Restaurant,ambience,2,0,1.0
Tony's Pizzeria & Ristorante,food,63,15,0.8076923076923077
A King's Cafe,food,12,7,0.631578947368421
Pepperoni Pizza,food,11,4,0.7333333333333333
Bronx BBQ - BXQ,food,6,2,0.75
Grandad's General Store,food,4,0,1.0
Teriyaki Corner,ambience,3,2,0.6
